"geneid","SRR6822884","SRR6822885","SRR6822886","SRR6822887"
"WBGene00000003","90","169","74","168"
"WBGene00000007","150","241","131","214"
"WBGene00000014","0","0","0","0"
"WBGene00000015","2","4","2","8"
"WBGene00000022","1097","915","1506","1028"
"WBGene00000024","0","0","1","5"
"WBGene00000027","2","1","0","4"
"WBGene00000029","2","0","2","2"
"WBGene00000030","4","7","2","6"
"WBGene00000031","40","52","4","60"
"WBGene00000054","44","62","36","44"
"WBGene00000055","48","108","36","116"
"WBGene00000056","20","19","14","17"
"WBGene00000057","94","44","74","68"
"WBGene00000062","8","20","6","12"
"WBGene00000063","7146","5102","9076","5342"
"WBGene00000064","26381","23023","31467","20716"
"WBGene00000065","6511","6188","6909","6417"
"WBGene00000069","22","74","14","82"
"WBGene00000071","93","210","62","222"
"WBGene00000073","390","517","238","511"
"WBGene00000097","1548","1217","1779","874"
"WBGene00000098","4776","3535","5496","3461"
"WBGene00000102","4273","4585","3123","4483"
"WBGene00000108","0","2","0","0"
"WBGene00000110","4155","4104","2702","4171"
"WBGene00000111","630","458","262","582"
"WBGene00000139","97","167","38","132"
"WBGene00000142","2164","2004","2172","1912"
"WBGene00000144","546","540","712","466"
"WBGene00000146","3582","3586","3368","3342"
"WBGene00000159","1046","1024","1191","954"
"WBGene00000168","1818","1660","1807","1372"
"WBGene00000172","554","478","510","352"
"WBGene00000173","0","2","2","4"
"WBGene00000174","30","16","12","22"
"WBGene00000200","2852","2499","2850","2158"
"WBGene00000214","55857","43650","48405","30827"
"WBGene00000215","7128","4833","8028","5107"
"WBGene00000218","10165","6898","9479","6228"
"WBGene00000219","27655","17485","28590","17841"
"WBGene00000226","1396","2367","1048","2196"
"WBGene00000228","4706","5061","3738","5479"
"WBGene00000233","255","378","120","511"
"WBGene00000244","26","56","18","60"
"WBGene00000249","872","786","1000","613"
"WBGene00000250","731","620","826","600"
"WBGene00000257","1584","1803","1613","1842"
"WBGene00000285","126","241","71","227"
"WBGene00000298","1357","1801","448","802"
"WBGene00000302","80","89","76","98"
"WBGene00000373","288","438","104","250"
"WBGene00000387","715","719","614","588"
"WBGene00000412","136","124","48","24"
"WBGene00000445","22","38","2","39"
"WBGene00000447","8","28","4","40"
"WBGene00000449","23","86","14","98"
"WBGene00000453","111","281","97","348"
"WBGene00000454","2","24","6","24"
"WBGene00000455","44","60","13","93"
"WBGene00000477","34","110","28","180"
"WBGene00000478","96","172","82","175"
"WBGene00000480","3899","3728","3133","3061"
"WBGene00000488","29","37","15","40"
"WBGene00000490","24","66","0","102"
"WBGene00000491","40","104","24","98"
"WBGene00000498","1984","1521","1579","1054"
"WBGene00000499","167","258","120","280"
"WBGene00000514","302","242","182","304"
"WBGene00000521","16","38","4","40"
"WBGene00000533","956","1095","969","1143"
