,High_1,High_2,Low_1,Low_2
ENSG00000000003,202,223,189,200
ENSG00000000005,0,0,0,0
ENSG00000000419,838,913,1143,1098
ENSG00000000457,95.3,56.65,59.2,79.83
ENSG00000000460,232.7,264.35,295.8,317.17
ENSG00000000938,0,0,0,0
ENSG00000000971,113,146,86,107
ENSG00000001036,0,0,0,0
ENSG00000001084,1151,1179,1289,976.85
ENSG00000001167,203,226,250,278
ENSG00000001460,90,94,96,78
ENSG00000001461,451,463,460,401
ENSG00000001497,775,835,1308,1128
ENSG00000001561,0,0,0,0
ENSG00000001617,833,598,371,272
ENSG00000001626,0,0,0,0
ENSG00000001629,548,518,604,508
ENSG00000001630,448,557,622,633
ENSG00000001631,417.88,387.36,505.11,400.44
ENSG00000002016,104,74,95,87
ENSG00000002079,13,8,20,34
ENSG00000002330,270.83,252.93,325.86,272.98
ENSG00000002549,361,461,680,580
ENSG00000002586,478,501,675,618
ENSG00000002587,139,145,182,174
ENSG00000002726,45,36,1,6
ENSG00000002745,18,24,17,11
ENSG00000002746,0,0,0,0
ENSG00000002822,486,554,720,606
ENSG00000002834,7660,7689,10332,9345
ENSG00000002919,164,194,237,213
ENSG00000002933,0,0,0,0
ENSG00000003056,1284.09,1352.64,1908.44,1734
ENSG00000003096,391,351,401,384
ENSG00000003137,72,42,75,69
ENSG00000003147,0,0,0,0
ENSG00000003249,247,208,158,121
ENSG00000003393,298,266,464,404
ENSG00000003400,21,22,13,5
ENSG00000003402,368,284,221.05,209
ENSG00000003436,3,0,0,0
ENSG00000003509,165.04,160,196,178
ENSG00000003756,468.9,329,406.49,407.33
ENSG00000003987,6,4,5.54,5
ENSG00000003989,0,0,0,1
ENSG00000004059,1355,1167,1413,1218
ENSG00000004139,26.08,17.45,14.69,19.56
ENSG00000004142,1804,1842,2642,2262
ENSG00000004399,0,2,0,1
ENSG00000004455,1742,2007,2824,2545
ENSG00000004468,0,0,0,1
ENSG00000004478,1668,1940,3122,2770
ENSG00000004487,3146,2949,3108,2474
ENSG00000004534,447,422,548.51,472
ENSG00000004660,417,384,501,347
ENSG00000004700,577.54,633.07,757.58,692.74
ENSG00000004766,225,212,216,222
ENSG00000004776,2,1,6,4
