"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significant","symbol"
"ENSG00000000003",203.926782136076,0.290258819478836,0.233295962603623,1.24416563509928,0.213438608605312,0.513415022538366,"no","TSPAN6"
"ENSG00000000419",989.48078963431,-0.190909104943307,0.126211107120371,-1.51261730682095,0.130376895458767,0.389561334718908,"no","DPM1"
"ENSG00000000457",72.3944402454343,0.279914125911765,0.406181507316985,0.689135573307425,0.490737955665946,0.771866268700712,"no","SCYL3"
"ENSG00000000460",275.355738503656,-0.140999494649107,0.208744315608681,-0.675465074284607,0.499380333650938,0.777256600040605,"no","FIRRM"
"ENSG00000000971",114.142051863649,0.584038294392329,0.319249605349089,1.82940960491933,0.06733826980998,0.259719340145268,"no","CFH"
"ENSG00000001084",1144.56992064,0.212614878212843,0.127665363874656,1.66540768584337,0.0958314470743142,0.324345066086681,"no","GCLC"
"ENSG00000001167",237.929681013953,-0.138552396150347,0.222443471775668,-0.622865643322074,0.533372816889065,0.798584156588392,"no","NFYA"
"ENSG00000001460",89.323965735928,0.249985035556401,0.334452045309696,0.7474465743659,0.454794040656048,0.748713932637684,"no","STPG1"
"ENSG00000001461",443.236936714054,0.253536119408997,0.163169148966142,1.55382387550238,0.120226433809973,0.372241694223968,"no","NIPAL3"
"ENSG00000001497",996.639317081784,-0.429200310206649,0.12501756163431,-3.43312015204797,0.000596677616501426,0.00745228992963739,"yes","LAS1L"
"ENSG00000001617",526.728057365902,1.32276759901162,0.185225346174504,7.1413962847472,9.23875723412521e-13,1.32193757907236e-10,"yes","SEMA3F"
"ENSG00000001629",541.85486547941,0.106690225275247,0.151204828984542,0.70560064775546,0.480436521328743,0.763979588043175,"no","ANKIB1"
"ENSG00000001630",561.254352719621,-0.155926495324332,0.166640895662364,-0.935703656083675,0.349425787692616,0.662844417309713,"no","CYP51A1"
"ENSG00000001631",423.897471159703,-0.00150072315532683,0.169962094991064,-0.00882975204209934,0.992954968713759,0.997996113133235,"no","KRIT1"
"ENSG00000002016",89.5987685862003,0.130558170521375,0.342586796329291,0.381095161635722,0.703132637470003,0.884766863432042,"no","RAD52"
"ENSG00000002079",18.3977811700354,-1.21867296518606,0.765005895781147,-1.59302427851445,0.111154744636573,0.355437929811839,"no","MYH16"
"ENSG00000002330",277.616329592537,-0.0260465778658215,0.198890718721354,-0.130959242509012,0.895807549421596,0.966408404678979,"no","BAD"
"ENSG00000002549",512.874607795587,-0.446031672918655,0.171997802770114,-2.59324052828049,0.00950762510920645,0.0636914845699568,"yes","LAP3"
"ENSG00000002586",562.21847515113,-0.235212629647699,0.149122907041445,-1.57730716436696,0.114724864702174,0.363003484114895,"no","CD99"
"ENSG00000002587",158.692351680653,-0.161150122671747,0.255074117451402,-0.631777634994464,0.527532189798234,0.795484886648769,"no","HS3ST1"
"ENSG00000002726",23.0280948782454,3.67522129297898,0.840244953460808,4.37398793987568,1.21997121584183e-05,0.000303028056309476,"yes","AOC1"
