"","WT_1","WT_2","WT_3","GFI1KO_1","GFI1KO_2","GFI1KO_3"
"ENSG00000000003",1240,1204,1249,864,847,949
"ENSG00000000005",0,1,2,0,0,0
"ENSG00000000419",923,797,833,780,814,735
"ENSG00000000457",395,346,347,357,339,331
"ENSG00000000460",672,615,624,544,553,588
"ENSG00000000938",0,0,0,0,0,1
"ENSG00000000971",0,0,0,0,0,3
"ENSG00000001036",1288,1142,1148,1399,1396,1388
"ENSG00000001084",691,659,676,971,928,997
"ENSG00000001167",1432,1340,1550,1500,1427,1541
"ENSG00000001460",213,204,192,355,377,335
"ENSG00000001461",518,510,468,725,718,675
"ENSG00000001497",2059,1835,2063,2164,2223,2214
"ENSG00000001561",950,903,892,753,705,707
"ENSG00000001617",98,105,109,191,174,200
"ENSG00000001626",5,3,0,0,4,9
"ENSG00000001629",2361,2234,2264,2066,2034,1943
"ENSG00000001630",40,24,19,102,111,96
"ENSG00000001631",225,220,233,189,232,211
"ENSG00000002016",368,310,336,276,275,278
"ENSG00000002079",6,4,10,10,5,5
"ENSG00000002330",406,346,320,664,689,644
"ENSG00000002549",1038,991,1042,657,684,670
"ENSG00000002586",503,559,560,1507,1507,1516
"ENSG00000002587",36,35,30,11,15,23
"ENSG00000002726",3,3,8,8,10,8
"ENSG00000002745",5,1,2,1,6,2
"ENSG00000002746",25,19,9,21,24,22
"ENSG00000002822",421,429,445,812,774,826
"ENSG00000002834",1079,1005,928,2565,2599,2497
"ENSG00000002919",431,434,487,636,663,679
"ENSG00000002933",7,8,13,7,5,4
"ENSG00000003056",1444,1339,1421,2114,2231,2132
"ENSG00000003096",400,316,362,263,205,222
"ENSG00000003137",590,588,522,385,399,360
"ENSG00000003147",360,274,362,210,208,227
"ENSG00000003249",1096,1048,965,1436,1526,1451
"ENSG00000003393",1146,1180,1181,1377,1422,1369
"ENSG00000003400",4,4,2,5,6,5
"ENSG00000003402",665,620,673,1041,965,1045
"ENSG00000003436",20,13,18,5,4,4
"ENSG00000003509",403,342,405,412,416,410
"ENSG00000003756",1450,1459,1400,1488,1620,1519
"ENSG00000003987",672,650,709,473,445,448
"ENSG00000003989",1139,1088,1115,944,864,875
"ENSG00000004059",1435,1328,1444,1986,1932,1994
"ENSG00000004139",827,715,753,797,754,891
"ENSG00000004142",1929,1868,1760,2436,2494,2484
"ENSG00000004399",1995,1814,1938,3232,3073,3236
"ENSG00000004455",3071,2763,2809,3105,3325,3110
"ENSG00000004468",0,4,0,4,5,4
"ENSG00000004478",3086,2850,3118,3723,3679,3733
"ENSG00000004487",4372,4186,4424,3063,3274,3150
"ENSG00000004534",1443,1343,1349,1994,2169,2053
"ENSG00000004660",563,552,506,1142,1094,1180
"ENSG00000004700",1191,1082,1199,1148,1051,1110
"ENSG00000004766",456,318,474,348,317,320
"ENSG00000004776",5,4,3,8,9,3
"ENSG00000004777",346,290,241,577,612,605
"ENSG00000004779",1507,1503,1427,1708,1794,1765
"ENSG00000004799",30,36,34,43,43,59
"ENSG00000004809",0,0,0,0,0,0
"ENSG00000004838",39,43,40,59,69,60
"ENSG00000004846",0,0,0,0,0,0
"ENSG00000004848",7,11,7,8,9,6
"ENSG00000004864",1368,1238,1318,1278,1254,1200
"ENSG00000004866",764,695,667,661,615,633
"ENSG00000004897",3155,2885,3198,2572,2435,2554
"ENSG00000004939",2,2,8,2,8,3
"ENSG00000004948",0,0,0,0,0,0
"ENSG00000004961",1315,1150,1184,1327,1390,1455
"ENSG00000004975",889,843,885,1882,1974,1924
"ENSG00000005001",0,0,0,0,0,0
"ENSG00000005007",2065,1913,2082,2766,2827,2792
"ENSG00000005020",1598,1255,1409,1106,1104,1105
"ENSG00000005022",11953,10966,12786,12616,13249,13071
"ENSG00000005059",824,681,751,665,671,637
"ENSG00000005073",303,275,276,318,293,317
"ENSG00000005075",385,409,331,768,849,851
"ENSG00000005100",1318,1265,1221,1247,1178,1207
"ENSG00000005102",0,0,0,0,0,0
"ENSG00000005108",115,84,104,150,123,139
"ENSG00000005156",856,804,959,770,789,864
"ENSG00000005175",2084,1860,2004,1658,1635,1557
"ENSG00000005187",14,10,4,12,14,17
"ENSG00000005189",836,743,729,571,645,667
"ENSG00000005194",1366,1274,1389,1151,1227,1182
"ENSG00000005206",511,544,458,883,974,929
"ENSG00000005238",210,169,210,342,336,369
"ENSG00000005243",118,104,79,224,216,210
"ENSG00000005249",1502,1366,1563,840,823,915
"ENSG00000005302",1231,1115,1082,1252,1355,1330
"ENSG00000005339",2417,2284,2186,3225,3087,3162
"ENSG00000005379",352,289,320,270,314,319
"ENSG00000005381",0,0,1,0,0,0
"ENSG00000005421",200,155,198,42,51,63
"ENSG00000005436",1137,995,1117,626,593,636
"ENSG00000005448",758,723,733,859,871,882
"ENSG00000005469",551,523,575,561,515,526
"ENSG00000005471",139,125,139,90,70,79
"ENSG00000005483",1821,1717,1679,1548,1495,1583
